departamento,year,spi3_mean,spi3_median,spi3_min,spi3_max,spi3_std,n_sequia_e9,n_exceso_e9,spi3_floracion,spi3_desarrollo,spi3_cosecha,spi3_mean_lag1,spi3_min_lag1,spi3_median_lag1,n_sequia_e9_lag1,n_exceso_e9_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1
Quindio,2009,-0.7481212403418193,-0.8152190911154349,-1.6554575176214998,0.23219635601309968,0.5420446753337018,4,0,-0.5468399281823573,-0.6710002741507575,-1.0265235186923438,-0.15418481430270453,-1.3706651024040135,-0.039065487000882436,2.0,0.0,-0.6500373761281792,0.2892425873498655,-0.10175965412979991
Quindio,2010,0.2490227524419599,0.38831954413104663,-1.848361640684715,1.6746103175344287,0.9728887443396806,2,3,-0.25270427088265446,0.8678348858711123,0.13193764233742186,-0.7481212403418193,-1.6554575176214998,-0.8152190911154349,4.0,0.0,-0.5468399281823573,-0.6710002741507575,-1.0265235186923438
Quindio,2011,0.3366266900767842,0.371045823160341,-0.7587484248167282,1.296634432325003,0.7068302642627688,0,3,0.3274840979963515,-0.02761570438845698,0.7100116766224581,0.2490227524419599,-1.848361640684715,0.38831954413104663,2.0,3.0,-0.25270427088265446,0.8678348858711123,0.13193764233742186
Quindio,2012,-0.40174411078588146,-0.34554775442563856,-1.3638083762862667,0.9146116140595794,0.6744849835801473,3,0,0.03616587603031984,-0.729241377112086,-0.5121568312758781,0.3366266900767842,-0.7587484248167282,0.371045823160341,0.0,3.0,0.3274840979963515,-0.02761570438845698,0.7100116766224581
Quindio,2013,-0.23158766394456257,-0.03361192366614629,-1.4931053549469406,0.6739239957123542,0.5689241737249957,1,0,-0.3971933502955991,-0.17433865610834356,-0.12323098542974503,-0.40174411078588146,-1.3638083762862667,-0.34554775442563856,3.0,0.0,0.03616587603031984,-0.729241377112086,-0.5121568312758781
Quindio,2014,-0.3252480831197237,-0.12929940160878683,-1.4004754925722762,0.6726985523338016,0.6422382762761041,1,0,-0.32645039959436517,-0.4802961569603937,-0.16899769280441218,-0.23158766394456257,-1.4931053549469406,-0.03361192366614629,1.0,0.0,-0.3971933502955991,-0.17433865610834356,-0.12323098542974503
Quindio,2015,-0.8939006561460889,-0.8920455850983163,-1.8895917212794169,0.1923644061024444,0.6671452553441534,6,0,-0.4066499465970844,-1.3543612672994316,-0.9206907545417509,-0.3252480831197237,-1.4004754925722762,-0.12929940160878683,1.0,0.0,-0.32645039959436517,-0.4802961569603937,-0.16899769280441218
Quindio,2016,-0.44787573254566276,-0.2771946730681963,-2.2676060798765563,0.7358847420861867,0.8861817693652899,3,0,-1.0315159667054905,-0.6314172621429583,0.3193060312114608,-0.8939006561460889,-1.8895917212794169,-0.8920455850983163,6.0,0.0,-0.4066499465970844,-1.3543612672994316,-0.9206907545417509
Quindio,2017,-0.09952197220692495,-0.14947920851308083,-1.1218389489834384,1.1325194221473716,0.6359839339734648,1,1,-0.03930646648235597,-0.15651013332150582,-0.10274931681691307,-0.44787573254566276,-2.2676060798765563,-0.2771946730681963,3.0,0.0,-1.0315159667054905,-0.6314172621429583,0.3193060312114608
Quindio,2018,0.7132894502519358,0.8358159405024231,-1.0076929842342395,2.0766592147968264,0.8971485726372737,1,5,0.6210536243262387,0.12089919943991795,1.3979155269896508,-0.09952197220692495,-1.1218389489834384,-0.14947920851308083,1.0,1.0,-0.03930646648235597,-0.15651013332150582,-0.10274931681691307
Quindio,2019,0.8764966394840418,0.957163272622069,-1.0945951407534638,2.358713592347851,1.0863219825500978,2,6,1.369861382905695,0.08587504048499345,1.1737534950614372,0.7132894502519358,-1.0076929842342395,0.8358159405024231,1.0,5.0,0.6210536243262387,0.12089919943991795,1.3979155269896508
Quindio,2020,0.9867730287709168,1.0355341772781896,0.055012040630488826,1.514152793217869,0.42652455772383874,0,7,0.5162847883396603,1.098113814514468,1.345920483458622,0.8764966394840418,-1.0945951407534638,0.957163272622069,2.0,6.0,1.369861382905695,0.08587504048499345,1.1737534950614372
Quindio,2021,1.480335390247747,1.5113170409938057,0.35987917329941893,2.2494193478509303,0.538705368580019,0,10,1.4052609470582125,1.5953291582715485,1.4404160654134788,0.9867730287709168,0.055012040630488826,1.0355341772781896,0.0,7.0,0.5162847883396603,1.098113814514468,1.345920483458622
Quindio,2022,1.0102283515816781,0.9903571362060245,-0.35551343076504466,1.7840184199167002,0.6489704291698914,0,6,1.1841994855198585,0.5879262718318216,1.2585592973933544,1.480335390247747,0.35987917329941893,1.5113170409938057,0.0,10.0,1.4052609470582125,1.5953291582715485,1.4404160654134788
Quindio,2023,0.6925591689185705,0.6429747544759379,0.01571588415545208,1.5264414739932146,0.5421115317657186,0,5,0.9620929710612606,0.15323781286353474,0.9623467228309164,1.0102283515816781,-0.35551343076504466,0.9903571362060245,0.0,6.0,1.1841994855198585,0.5879262718318216,1.2585592973933544
Quindio,2024,0.853749915948709,0.897174335815146,-0.4585420798662971,2.226116216702112,0.7974350537160596,0,6,0.7748840807803778,1.0400433074505109,0.7463223596152384,0.6925591689185705,0.01571588415545208,0.6429747544759379,0.0,5.0,0.9620929710612606,0.15323781286353474,0.9623467228309164
